file,duration_s,distance_m,speed_min,speed_max,speed_mean
VM2_-58291761,1272.0,7147.619354320438,0.022817500753598615,8.735014239192624,5.608863494838987
VM2_-1420465598,1532.0,5670.985125624316,0.0004525786709186565,8.566548289007772,3.688114432093146
VM2_-1093469037,1315.0,7260.567152396825,0.0012015627544450012,8.477343651153204,5.504441156298884
VM2_362412540,67.0,306.80700114583317,0.5530272721221167,6.194548028470437,4.358484570692894
VM2_-1675460430,3976.0,19554.640239232325,0.0,10.96931399129843,4.91079659148357
VM2_560058416,1922.0,6341.890103001728,0.0010054350871068333,8.243042512348923,3.2935473150382175
VM2_18839983,830.0,3140.45288478384,0.0,9.171207052787482,3.7599200741805054
VM2_720126182,1776.0,6545.533048869629,0.0014070155135740673,8.104872802573713,3.682731959464704
VM2_-1535281972,1748.0,3800.7743538269633,0.0,10.783640344886937,1.5432644906471777
VM2_-1500463409,1125.0,4255.191113898131,0.0,7.33177536204007,3.7741091213469646
VM2_1517689930,2916.0,16789.781363063506,0.003770853027359727,11.710087880981826,5.746893260839564
VM2_-1907667592,1368.879,6517.410685911069,0.00027819389008755454,10.091497895797971,4.7518416420911445
VM2_-1440856874,1551.0,5035.690301618909,0.00022630975978345108,8.354947229249236,3.2414634986015036
VM2_-2005639296,381.0,1423.486573394688,0.02816618320277806,15.027165601173722,3.729717269481245
VM2_142773205,2882.0,13725.62122135211,0.0,9.26402035473786,4.759666717163237
VM2_143076633,1566.0,6110.876624009978,0.0002263512303402014,27.16175056604615,3.8950865717013867
VM2_269715063,3464.0,18983.038741905344,0.0006776250198930246,8.280313676559903,5.476795544110823
VM2_-1940468419,1335.0,7900.912349070587,0.0020711858600896966,17.645880442989487,5.9080076365905745
VM2_411144488,1326.0,4311.577861598986,0.0,6.353531515992729,3.2420738440234276
VM2_1241003959,2118.0,10771.738573643674,0.002704907008607658,9.119403536923203,5.081653214506895
VM2_-1957137021,1267.0,7092.905047149614,0.002263907248368959,20.257230872777864,5.5819716076835215
VM2_-954470899,1799.0,8495.79171972336,0.0009783088783234242,51.21933216261829,4.719093246729528
VM2_-392044485,266.0,1319.1702970371487,0.7710103553668656,12.444035057308094,4.910233648731216
VM2_839219460,965.0,3671.666765122611,0.0011317558347605807,9.893066997312657,3.793265473295263
VM2_1134496300,2290.0,14098.283190547907,0.0,9.533049283755725,6.15362978680115
VM2_-1936026769,1112.0,4753.627163014662,0.0,11.138365669948003,4.179676617605069
VM2_-496410135,2561.0,14214.69229529444,0.0,9.462507844920038,5.543982599781308
VM2_435792570,2011.0,7307.980853547235,0.0014070926798761747,7.6122354776544805,3.629722863438983
VM2_915882579,947.0,4084.9194568512044,0.0,6.901487739898311,4.300639722789958
VM2_1012576853,1297.0,7238.058688363046,0.029541931338390975,10.296876173438934,5.573268248547948
VM2_-2062704437,392.0,1172.3787945699528,0.0,6.339534077149778,2.967260644632139
VM2_-1345137053,3360.0,15359.698350326373,0.0,7.382824878468862,4.56498257918679
VM2_163623192,1096.0,7248.67982606563,0.0010057991831266776,10.850323390993559,6.5960792607634176
VM2_-109992769,2786.0,16685.474126424917,0.0012013073262444778,12.740819964400387,5.978973586492294
VM2_-53461967,1236.0,7375.363040104407,0.011439803371698795,9.050813489539978,5.955331410440019
VM2_-1028825793,710.0,2723.7466021041855,0.13157897517569997,5.1897439351807995,3.820896904200642
VM2_1375234687,2323.0,9394.147948099358,0.0,8.251111051605534,4.042633787893754
VM2_-1865605671,1558.998,6601.380552227189,0.0,8.857097995692794,4.249333037873835
VM2_1442444739,2346.0,11140.643795211638,0.0,9.149636303553935,4.741795123187641
VM2_444556656,376.0,1123.9463618320783,0.0,6.41454216369072,2.962462456578232
VM2_1520839711,981.0,3648.2309106929615,0.0027404866455572187,10.395323807874954,3.7065707225186695
VM2_-1053832680,413.0,1772.491706886587,0.016321621309505326,6.555802984910421,4.266317867862582
VM2_1464930900,2809.0,16569.774321640914,0.0004344940699764044,10.818119869289115,5.888065526001407
VM2_519995287,2231.0,10778.815423965269,0.0029650569698534877,14.894057435125717,4.834488334234964
VM2_1408377242,398.0,1576.6226628972286,0.5909261928727852,7.594130928002355,3.9273266460628125
VM2_-939582592,848.0,3533.7687204787962,0.012643857231282788,13.554606117004122,4.14932961639315
VM2_-419407425,2249.0,14254.879704095982,0.0,11.47067624845989,6.32957525726587
VM2_574573781,395.0,1337.040108427224,0.00022651977564063408,5.419002366041237,3.359261302565424
VM2_-1212319322,1455.0,6498.071142797117,0.0,8.304785495307195,4.456470427046889
VM2_-1980229433,1386.998,3751.1641751395914,0.0,10.221453510763803,2.668649684960853
VM2_-1497744296,499.0,1932.689591142018,0.8558787754629691,5.565075962916873,3.847303123698024
VM2_976010186,154.0,496.9138444540308,0.017158215938689218,7.122069288877551,3.1661785450280835
VM2_436598049,1179.0,4575.560701050005,0.0,8.06310841371119,3.8716700019493424
VM2_-1619378413,2174.0,10800.161547485463,0.0015871333278211044,9.8375886888393,4.958947927998572
VM2_-1345301251,1081.0,4165.882924329137,0.8254574631958495,8.416106462317552,3.838671037123721
