[SedonaDB] [aviation] query: inCityRadiusInPeriod: 194.9340210048831ms, result count: 18
[SedonaDB] [aviation] query: countFlightsInCounties: 180.16124700079672ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 25.214530003722757ms, result count: 1670
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 128.9703400034341ms, result count: 381
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 153.85499699914362ms, result count: 8
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 86.91064299637219ms, result count: 255
[SedonaDB] [aviation] query: countFlightsInCounties: 187.7263460046379ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 20.95330999873113ms, result count: 1097
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 83.53130199975567ms, result count: 285
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 26.9964280014392ms, result count: 2125
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 150.05811800074298ms, result count: 14
[SedonaDB] [aviation] query: countFlightsInCounties: 182.599054001912ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 177.1079460013425ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 128.27344999823254ms, result count: 189
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 52.271761996962596ms, result count: 15
[SedonaDB] [aviation] query: flightClosestToPoint: 97.4430710048182ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 15.789551005582325ms, result count: 1142
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 132.95810999989044ms, result count: 68
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 21.90805099962745ms, result count: 293
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 80.39103900227929ms, result count: 67
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 74.66046400077175ms, result count: 71
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 90.29769399785437ms, result count: 345
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 23.62320799875306ms, result count: 399
[SedonaDB] [aviation] query: countFlightsInCounties: 256.78178999805823ms, result count: 1
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 82.26752000337001ms, result count: 127
[SedonaDB] [aviation] query: countFlightsInCounties: 203.42866300052265ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 126.54803899931721ms, result count: 29
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 75.61243200325407ms, result count: 98
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 132.53656099550426ms, result count: 158
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 144.08802600519266ms, result count: 151
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 136.4032329947804ms, result count: 387
[SedonaDB] [aviation] query: countFlightsInCounties: 207.71440400130814ms, result count: 1
[SedonaDB] [aviation] query: flightClosestToPoint: 102.94107300433097ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 198.10629399580648ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 130.3462430005311ms, result count: 212
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 21.609822993923444ms, result count: 881
[SedonaDB] [aviation] query: countFlightsInCounties: 190.35413100209553ms, result count: 1
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 74.45183700474445ms, result count: 156
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 25.042439003300387ms, result count: 1575
[SedonaDB] [aviation] query: flightClosestToPoint: 107.61660800199024ms, result count: 0
[SedonaDB] [aviation] query: flightClosestToPoint: 96.75047999917297ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 171.43242099700728ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 191.1540340006468ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 26.807714995811693ms, result count: 1583
[SedonaDB] [aviation] query: flightClosestToPoint: 99.13141399738379ms, result count: 1
[SedonaDB] [aviation] query: flightClosestToPoint: 102.10610699868994ms, result count: 0
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 143.7640959993587ms, result count: 5
[SedonaDB] [aviation] query: flightClosestToPoint: 101.13910699874396ms, result count: 0
[SedonaDB] [aviation] query: countFlightsInCounties: 191.2638549983967ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 139.68101099453634ms, result count: 220
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 155.29422699910356ms, result count: 6
[SedonaDB] [aviation] query: flightClosestToPoint: 86.9148550045793ms, result count: 0
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 71.73013900319347ms, result count: 157
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 134.59054700069828ms, result count: 218
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 24.718609005503822ms, result count: 635
[SedonaDB] [aviation] query: flightClosestToPoint: 94.52161999797681ms, result count: 0
[SedonaDB] [aviation] query: flightClosestToPoint: 75.28963100048713ms, result count: 0
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 15.485099000215996ms, result count: 320
[SedonaDB] [aviation] query: countFlightsInCounties: 184.9325679941103ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 23.60923300147988ms, result count: 655
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 139.22299499972723ms, result count: 248
