[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.495778004638851ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.2055770095903426ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 84.93157700286247ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 25.964681000914425ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.331485979491845ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 90.41353399516083ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 111.9959130010102ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 578.6897589860018ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 70.58448498719372ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.6339770013000816ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 94.33824400184676ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.766680998727679ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.573952020611614ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.454869001870975ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 43.27367802034132ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.416410006117076ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.600587996421382ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 48.741474020062014ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.548019001958892ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.5748670236207545ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 40.68031799397431ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.638741983100772ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.133112990530208ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.315806021215394ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.6240000044927ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 621.1627849843353ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.5695760268718004ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.754278994165361ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.1003949805162847ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 681.693535996601ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.9536240035668015ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 99.23231301945634ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 172.9740200098604ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 134.18734600418247ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 63.712756003951654ms, result count: 4
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.661824001232162ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.968132001115009ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 49.33579100179486ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 574.2759010172449ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.4417410022579134ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 43.75335399527103ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 601.5374959970359ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.911360010737553ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 561.8691190029494ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 678.3788399770856ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 556.6310069989413ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.683689021272585ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 551.7229830147699ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 30.020219972357154ms, result count: 0
[SedonaDB] [ais] query: HarbourActivityInPeriod: 128.49387800088152ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.7872650243807584ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 547.0805499935523ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.531128022586927ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 539.2513390106615ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.130741988774389ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.5357650194782764ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.598543000407517ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 593.4857829997782ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 28.419252019375563ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 571.8827350065112ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 29.601905989693478ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.871707988670096ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 6.597761996090412ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 602.8616960102227ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.1642300018575042ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 100.55010698852129ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.1915719921234995ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 578.0788720003329ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.53812299342826ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 28.252285992493853ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.89279900514521ms, result count: 4
[SedonaDB] [ais] query: HarbourActivityInPeriod: 129.39581400132738ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.413975984789431ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.9598220135085285ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.8378709976095706ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.6375329946167767ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 613.9979400031734ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 733.9981560071465ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 101.742603990715ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.783014999702573ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 43.332542991265655ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.907460007118061ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 630.8123509807047ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 44.47134298970923ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 49.69286499544978ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.878389998339117ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 147.8785229846835ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.7966810050420463ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 158.12698801164515ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.052178018260747ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.448394986568019ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.979907989967614ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.960469981189817ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.146635979646817ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 45.743177994154394ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.70776399015449ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 101.02563098189421ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 597.8991189913359ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 698.5472539963666ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 546.5744409884792ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 549.5155469980091ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 5.176428996492177ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.9588840261567384ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 585.2101579948794ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.2435830109752715ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 2.9480800149030983ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.9253880018368363ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.038008017232642ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 41.275121009675786ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.828108008950949ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.472387980669737ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 50.00901999301277ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.928237001877278ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.875853009754792ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 586.9696769805159ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 66.11540698213503ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 569.1280140017625ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 634.3071839946788ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.250626992667094ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 5.020268989028409ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.3465619964990765ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.435887004248798ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.7892610125709325ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.6978279929608107ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 641.983003995847ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.025700022699311ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.9767789819743484ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 562.3245690076146ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 87.97547101858072ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.102224004687741ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.139631007798016ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.3394259992055595ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.672738016350195ms, result count: 2
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.822779010282829ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 120.43824102147482ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.777770023792982ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.392214003019035ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.6789399853441864ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 731.3298019871581ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 26.867834996664897ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 64.57077400409617ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.800354014150798ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 46.964526001829654ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.5888799941167235ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.178823990514502ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 122.82971700187773ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 588.2446700125001ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.6550900074653327ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 45.80144502688199ms, result count: 125
[SedonaDB] [ais] query: HarbourActivityInPeriod: 142.73000101093203ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 45.258407975779846ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.644463013391942ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.166160011664033ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 119.66704798396677ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 101.97118399082683ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 565.8549799991306ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.5454790049698204ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 1272.7860360173509ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 100.49556201556697ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.99633000860922ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 92.83997298916802ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 61.69279298046604ms, result count: 0
