[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 30.900016019586474ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 53.52718001813628ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.899377992842346ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 121.45369101199321ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.609012008178979ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 136.1307220067829ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 6.632835022173822ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 6.96751000941731ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.3004339938052ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.71662899851799ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.71564899594523ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 46.92982800770551ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.549823002889752ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 86.06067998334765ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 600.3848130058032ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 533.9687609812245ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 543.3640989940614ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 594.0257129841484ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.4613700225017965ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.6558369863778353ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 620.6134399981238ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.5532020051032305ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.6372049944475293ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.134069974999875ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.430412984220311ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 40.61025398550555ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.8571609950158745ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.506540016038343ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 50.625161005882546ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.328343988163397ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.633252996020019ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 570.8046780200675ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 39.65544901438989ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 568.5482889821287ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 607.3598609946202ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.6966459990944713ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 1.6358740103896707ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.2199049999471754ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.492021020269021ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.1494580034632236ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.622386993607506ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 572.1296010015067ms, result count: 1
