[SedonaDB] [cycling] query: countActiveRideInDistrict: 763.2857569260523ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 6.306265015155077ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 654.5572590548545ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.957686993293464ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 100.36682605277747ms, result count: 13
[SedonaDB] [cycling] query: countActiveRideInDistrict: 640.1036779861897ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 451.4152240008116ms, result count: 72
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 410.01300199422985ms, result count: 324
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 418.5147649841383ms, result count: 41
[SedonaDB] [cycling] query: countActiveRideInDistrict: 479.1336130583659ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 8.878981927409768ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 437.61589191854ms, result count: 533
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 97.08495100494474ms, result count: 20
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 452.280730009079ms, result count: 709
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 7.776631973683834ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 6.570218945853412ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.2505740420892835ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 533.5897540207952ms, result count: 613
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 327.2627720143646ms, result count: 41
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 295.06640904583037ms, result count: 38
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 5.536806071177125ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 142.722510965541ms, result count: 3
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 8.771552005782723ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 648.2818860094994ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 101.5984199475497ms, result count: 18
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 792.5460729748011ms, result count: 1174
[SedonaDB] [cycling] query: countActiveRideInDistrict: 497.1059560775757ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 80.86667698808014ms, result count: 13
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 81.7727519897744ms, result count: 9
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 420.8664799807593ms, result count: 548
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 356.5450559835881ms, result count: 46
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 5.190185969695449ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.059690003283322ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 466.59144398290664ms, result count: 246
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 99.44972302764654ms, result count: 19
[SedonaDB] [cycling] query: countActiveRideInDistrict: 429.35463006142527ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 437.3032000148669ms, result count: 333
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 5.74518705252558ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 103.01430895924568ms, result count: 16
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 3.934397012926638ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 1.8970869714394212ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 450.1614059554413ms, result count: 198
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 266.1495410138741ms, result count: 3
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 2.9287870274856687ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 3.811900969594717ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 282.3204289888963ms, result count: 49
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 3.659331938251853ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 3.6228200187906623ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 2.2296629613265395ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.8702039746567607ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 580.8698160108179ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 541.7256029322743ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 446.8994149938226ms, result count: 6
[SedonaDB] [cycling] query: countActiveRideInDistrict: 450.43599302880466ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.053601063787937ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 95.96093301661313ms, result count: 16
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 285.94468103256077ms, result count: 10
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 5.534344934858382ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 88.13127607572824ms, result count: 17
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 71.16496399976313ms, result count: 7
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 4.666120978072286ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 5.972445011138916ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 424.8854049947113ms, result count: 6
[SedonaDB] [cycling] query: countActiveRideInDistrict: 470.5197219736874ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 448.98163294419646ms, result count: 74
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 332.19882496632636ms, result count: 15
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 454.93181806523353ms, result count: 196
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.09506110008806ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.864882979542017ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 544.7619189508259ms, result count: 229
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 307.4978869408369ms, result count: 29
[SedonaDB] [cycling] query: countActiveRideInDistrict: 501.33357907179743ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 5.045249010436237ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 4.6787039609625936ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 152.8934990055859ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 4.657097044400871ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 2.676664968021214ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 301.1575029231608ms, result count: 6
[SedonaDB] [cycling] query: countActiveRideInDistrict: 501.44052400719374ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 6.286683026701212ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 97.43750898633152ms, result count: 15
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.600190975703299ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 50.33819901291281ms, result count: 0
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 9.036513976752758ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 459.23743303865194ms, result count: 1086
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 418.762453016825ms, result count: 41
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.15035302285105ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 472.2887220559642ms, result count: 1096
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 251.30787398666143ms, result count: 11
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 408.35768496617675ms, result count: 41
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 345.603781985119ms, result count: 9
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 92.09689300041646ms, result count: 19
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 329.5783930225298ms, result count: 11
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.220333019271493ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 645.4911479959264ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 716.1143759731203ms, result count: 933
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 9.031660971231759ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 67.55327503196895ms, result count: 0
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 10.050563956610858ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 100.33368994481862ms, result count: 18
[SedonaDB] [cycling] query: countActiveRideInDistrict: 537.8940800437704ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 68.10530100483447ms, result count: 4
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 261.35559706017375ms, result count: 19
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 90.480589075014ms, result count: 14
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 2.82709498424083ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 424.14750705938786ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 267.5098910694942ms, result count: 11
[SedonaDB] [cycling] query: countActiveRideInDistrict: 625.7210439071059ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 640.4447389068082ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 282.74969302583486ms, result count: 18
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 8.141498896293342ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 5.97488705534488ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 273.65927200298756ms, result count: 10
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 4.005244001746178ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 282.15111093595624ms, result count: 18
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 91.71007201075554ms, result count: 17
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.3183570485562086ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 339.96996202040464ms, result count: 31
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 92.89811190683395ms, result count: 14
