[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.45915199816227ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.172731987433508ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 646.6602929867804ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 33.15513100824319ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 609.5784950011875ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 555.1677090115845ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.0595109856221825ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 1.8240310018882155ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.5592540041543543ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.488555994816124ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.328251012135297ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.715841012308374ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 604.6171560010407ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.237420012941584ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 1.6899090260267258ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 555.6423389934935ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 89.63698899606243ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.491515007335693ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.6346950219012797ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.2504220036789775ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 53.28443701728247ms, result count: 2
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 5.0126719870604575ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 125.46576099703088ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 5.288134008878842ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.480921009322628ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.4953980066347867ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 572.1424919902347ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 24.623906007036567ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 63.74796698219143ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.120833007618785ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 42.90095702162944ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.4328390213195235ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.043823981191963ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 122.13861098280177ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 546.302320988616ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.272211004514247ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.01530200429261ms, result count: 125
[SedonaDB] [ais] query: HarbourActivityInPeriod: 127.53756900201552ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 48.87427101493813ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 5.152910976903513ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 6.180198019137606ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 135.21272799698636ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 118.29668999416754ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 603.4053189796396ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.037081991555169ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 1444.2083410103805ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 107.31958199176006ms, result count: 1
